estado,municipio,ano_ingreso
Aguascalientes,Real de Asientos,2006
Aguascalientes,Calvillo,2012
Aguascalientes,San Jose de Gracia,2015
Baja California,Tecate,2012
Baja California Sur,Todos Santos,2006
Baja California Sur,Loreto,2012
Campeche,Palizada,2011
Coahuila,Parras de la Fuente,2004
Coahuila,Cuatro Cienegas,2012
Coahuila,Arteaga,2012
Coahuila,Viesca,2012
Coahuila,Candela,2015
Coahuila,Guerrero,2015
Colima,Comala,2002
Chiapas,San Cristobal de las Casas,2003
Chiapas,Comitan de Dominguez,2012
Chiapas,Chiapa de Corzo,2012
Chiapas,Palenque,2015
Chihuahua,Creel,2007
Chihuahua,Batopilas,2012
Chihuahua,Casas Grandes,2015
Durango,Mapimi,2012
Guanajuato,Dolores Hidalgo,2002
Guanajuato,Mineral de Pozos,2012
Guanajuato,Jalpa,2012
Guanajuato,Salvatierra,2012
Guanajuato,Yuriria,2012
Guerrero,Taxco,2002
Hidalgo,Real del Monte,2004
Hidalgo,Huasca de Ocampo,2001
Hidalgo,Mineral del Chico,2011
Hidalgo,Huichapan,2012
Hidalgo,Tecozautla,2015
Jalisco,Mazamitla,2005
Jalisco,Tapalpa,2002
Jalisco,Tequila,2003
Jalisco,San Sebastian del Oeste,2011
Jalisco,Lagos de Moreno,2012
Jalisco,Mascota,2015
Jalisco,Talpa de Allende,2015
Mexico,Malinalco,2010
Mexico,Tepotzotlan,2002
Mexico,Valle de Bravo,2005
Mexico,El Oro,2011
Mexico,Metepec,2012
Mexico,Aculco,2015
Mexico,Ixtapan de la Sal,2015
Mexico,Teotihuacan y San Martin de las Piramides,2015
Mexico,Villa del Carbon,2015
Michoacan,Cuitzeo,2006
Michoacan,Patzcuaro,2002
Michoacan,Sta. Clara del Cobre,2010
Michoacan,Tlalpujahua,2005
Michoacan,Angangueo,2012
Michoacan,Tacambaro,2012
Michoacan,Jiquilpan,2012
Michoacan,Tzintzuntzan,2012
Morelos,Tepoztlan,2002
Morelos,Tlayacapan,2011
Nayarit,Jala,2012
Nayarit,Sayulita,2015
Nuevo Leon,Santiago,2006
Nuevo Leon,Linares,2015
Oaxaca,Capulalpam de Mendez,2007
Oaxaca,Huautla de Jimenez,2015
Oaxaca,Mazunte,2015
Oaxaca,San Pablo Villa de Mitla,2015
Oaxaca,San Pedro y San Pablo Teposcolula,2015
Puebla,Cuetzalan del Progreso,2002
Puebla,Zacatlan,2011
Puebla,Pahuatlan,2012
Puebla,Chignahuapan,2012
Puebla,Cholula,2012
Puebla,Tlatlauquitepec,2012
Puebla,Xicotepec,2012
Puebla,Atlixco,2015
Puebla,Huahuchinango,2015
Queretaro,Bernal,2005
Queretaro,Jalpan de Serra,2010
Queretaro,Cadereyta de Montes,2011
Queretaro,Tequisquiapan,2012
Queretaro,San Joaquin,2015
Quintana Roo,Bacalar,2006
Quintana Roo,Isla Mujeres ,2015
Quintana Roo,Tulum,2015
San Luis Potosi,Real de Catorce,2001
San Luis Potosi,Xilitla,2011
Sinaloa,Cosala,2005
Sinaloa,El Fuerte,2009
Sinaloa,El Rosario,2012
Sinaloa,Mocorito,2015
Sonora,Alamos,2005
Sonora,Magdalena de Kino,2012
Tabasco,Tapijulapa,2010
Tamaulipas,Mier,2007
Tamaulipas,Tula,2011
Tlaxcala,Huamantla,2007
Tlaxcala,Tlaxco,2015
Veracruz,Coatepec,2006
Veracruz,Xico,2011
Veracruz,Papantla,2012
Veracruz,Orizaba,2015
Veracruz,Zozocolco,2015
Veracruz,Coscomatepec,2015
Yucatan,Izamal,2002
Yucatan,Valladolid,2012
Zacatecas,Jerez de Garcia Salinas,2007
Zacatecas,Teul de Gonzalez Ortega,2011
Zacatecas,Sombrerete,2012
Zacatecas,Pinos,2012
Zacatecas,Nochistlan,2012
