,"Aguascalientes, Real de Asientos","Aguascalientes, Calvillo","Aguascalientes, San Jose de Gracia","Baja California, Tecate","Baja California Sur, Todos Santos","Baja California Sur, Loreto","Campeche, Isla Aguada","Campeche, Palizada","Coahuila, Parras de la Fuente","Coahuila, Cuatro Cienegas","Coahuila, Arteaga","Coahuila, Viesca","Coahuila, Candela","Coahuila, Guerrero","Coahuila, Melchor Muzquiz","Colima, Comala","Chiapas, San Cristobal de las Casas","Chiapas, Comitan de Dominguez","Chiapas, Chiapa de Corzo","Chiapas, Palenque","Chihuahua, Creel","Chihuahua, Batopilas","Chihuahua, Casas Grandes","Durango, Mapimi","Durango, Nombre de Dios","Guanajuato, Dolores Hidalgo","Guanajuato, Mineral de Pozos","Guanajuato, Jalpa","Guanajuato, Salvatierra","Guanajuato, Yuriria","Guanajuato, Comonfort","Guerrero, Taxco","Hidalgo, Real del Monte","Hidalgo, Huasca de Ocampo","Hidalgo, Mineral del Chico","Hidalgo, Huichapan","Hidalgo, Tecozautla","Hidalgo, Zempoala","Hidalgo, Zimapan","Jalisco, Mazamitla","Jalisco, Tapalpa","Jalisco, Tequila","Jalisco, San Sebastian del Oeste","Jalisco, Lagos de Moreno","Jalisco, Mascota","Jalisco, Talpa de Allende","Jalisco, Ajijic","Jalisco, Tlaquepaque","Mexico, Malinalco","Mexico, Tepotzotlan","Mexico, Valle de Bravo","Mexico, El Oro","Mexico, Metepec","Mexico, Aculco","Mexico, Ixtapan de la Sal","Mexico, Teotihuacan y San Martin de las Piramides","Mexico, Villa del Carbon","Mexico, Tonatico","Michoacan, Cuitzeo","Michoacan, Patzcuaro","Michoacan, Sta. Clara del Cobre","Michoacan, Tlalpujahua","Michoacan, Angangueo","Michoacan, Tacambaro","Michoacan, Jiquilpan","Michoacan, Tzintzuntzan","Michoacan, Paracho","Morelos, Tepoztlan","Morelos, Tlayacapan","Nayarit, Jala","Nayarit, Sayulita","Nayarit, Compostela","Nayarit, Mexcaltitan","Nuevo Leon, Santiago","Nuevo Leon, Linares","Nuevo Leon, Bustamante","Oaxaca, Capulalpam de Mendez","Oaxaca, Huautla de Jimenez","Oaxaca, Mazunte","Oaxaca, San Pablo Villa de Mitla","Oaxaca, San Pedro y San Pablo Teposcolula","Oaxaca, Santa Catarina Juquila","Puebla, Cuetzalan del Progreso","Puebla, Zacatlan","Puebla, Pahuatlan","Puebla, Chignahuapan","Puebla, Cholula","Puebla, Tlatlauquitepec","Puebla, Xicotepec","Puebla, Atlixco","Puebla, Huahuchinango","Puebla, Tetela de Ocampo","Queretaro, Bernal","Queretaro, Jalpan de Serra","Queretaro, Cadereyta de Montes","Queretaro, Tequisquiapan","Queretaro, San Joaquin","Queretaro, Amealco de Bonfil","Quintana Roo, Bacalar","Quintana Roo, Isla Mujeres ","Quintana Roo, Tulum","San Luis Potosi, Real de Catorce","San Luis Potosi, Xilitla","San Luis Potosi, Santa María del Río","San Luis Potosi, Aquismón","Sinaloa, Cosala","Sinaloa, El Fuerte","Sinaloa, El Rosario","Sinaloa, Mocorito","Sonora, Alamos","Sonora, Magdalena de Kino","Tabasco, Tapijulapa","Tamaulipas, Mier","Tamaulipas, Tula","Tlaxcala, Huamantla","Tlaxcala, Tlaxco","Veracruz, Coatepec","Veracruz, Xico","Veracruz, Papantla","Veracruz, Orizaba","Veracruz, Zozocolco","Veracruz, Coscomatepec","Yucatan, Izamal","Yucatan, Valladolid","Yucatan, Mani","Yucatan, Sisal","Zacatecas, Jerez de Garcia Salinas","Zacatecas, Teul de Gonzalez Ortega","Zacatecas, Sombrerete","Zacatecas, Pinos","Zacatecas, Nochistlan","Zacatecas, Guadalupe"
"Aguascalientes, Real de Asientos",0.0,112.507,48.605,2243.69,1377.484,1646.573,1509.007,1473.996,601.257,738.511,479.666,573.198,694.194,889.396,799.482,483.388,1431.402,1521.571,1387.398,1435.295,1191.845,1105.75,1232.591,535.843,334.636,242.601,297.499,206.747,344.118,323.26,323.008,662.936,580.571,599.168,591.859,447.654,445.102,574.756,490.115,346.973,409.755,346.267,530.864,130.168,483.059,480.286,307.78,277.087,594.933,513.609,581.424,475.385,543.273,435.507,600.588,566.222,513.273,603.248,345.044,427.969,439.752,468.376,479.356,476.384,301.412,420.656,380.323,635.597,634.788,416.973,572.446,485.165,597.217,585.458,578.231,648.864,1076.423,936.494,1264.593,1047.67,964.243,1198.543,809.292,682.812,651.322,677.772,667.035,767.052,675.861,696.504,663.545,728.196,405.181,438.339,419.403,409.018,485.599,406.091,1866.331,2170.299,2076.6,403.085,528.68,250.22,492.676,795.204,1117.204,650.877,963.878,1247.461,1635.022,1371.743,708.039,348.292,678.838,646.838,819.595,828.507,793.854,806.977,776.795,843.103,1914.125,2005.263,1855.313,1877.977,157.089,264.714,264.624,70.134,167.172,97.503
"Aguascalientes, Calvillo",112.507,0.0,95.722,2309.407,1404.445,1673.534,1493.304,1458.293,666.974,804.228,545.383,638.914,759.911,955.113,865.199,467.684,1415.699,1505.868,1371.695,1419.592,1257.562,1171.467,1298.308,601.56,400.353,252.561,307.459,191.043,328.415,307.241,307.304,647.232,564.868,583.465,576.156,431.951,429.399,559.052,474.412,331.27,394.052,256.301,440.898,138.368,393.092,390.32,292.076,261.383,579.23,497.906,565.721,459.682,527.57,419.803,584.885,550.518,497.569,587.545,329.341,412.266,424.048,452.673,463.653,460.681,285.708,404.953,364.62,619.893,619.085,327.007,482.48,395.199,507.25,651.175,639.363,714.581,1060.72,920.79,1248.89,1031.967,948.54,1182.84,793.588,667.109,635.618,662.068,651.331,751.349,660.157,680.8,647.842,712.493,389.477,499.472,403.7,393.314,469.895,390.388,1850.628,2154.596,2060.897,468.802,589.813,260.18,553.808,822.166,1144.166,560.91,990.84,1274.422,1735.202,1356.04,773.756,409.424,663.134,631.135,803.892,813.185,778.151,791.273,761.092,827.4,1898.421,1989.56,1839.609,1862.274,159.021,151.023,330.341,187.772,90.259,163.22
"Aguascalientes, San Jose de Gracia",48.605,95.722,0.0,2241.248,1375.042,1644.132,1494.475,1459.463,598.815,736.069,477.225,570.756,691.752,886.954,797.04,468.855,1416.869,1507.038,1372.866,1420.762,1189.404,1103.309,1230.149,533.402,332.195,243.066,297.965,192.214,329.585,308.728,308.475,648.403,566.038,584.635,577.327,433.122,430.569,560.223,475.582,332.441,395.223,331.734,516.331,139.538,468.526,465.754,293.247,262.554,580.4,499.076,566.891,460.852,528.741,420.974,586.056,551.689,498.74,588.715,330.511,413.437,425.219,453.843,464.823,461.852,286.879,406.124,365.79,621.064,620.255,402.441,557.913,470.632,582.684,583.016,610.326,646.423,1061.89,921.961,1250.061,1033.137,949.711,1184.01,794.759,668.279,636.789,663.239,652.502,752.519,661.328,681.971,649.012,713.663,390.648,489.977,404.87,394.485,471.066,391.558,1851.799,2155.766,2062.068,400.643,580.318,250.686,544.314,792.763,1114.763,636.344,961.437,1245.019,1632.581,1357.21,705.598,399.93,664.305,632.306,805.062,814.356,779.321,792.444,762.263,828.57,1899.592,1990.73,1840.78,1863.444,154.648,247.657,262.182,116.852,152.639,95.062
"Baja California, Tecate",2243.69,2309.407,2241.248,0.0,1560.577,1128.928,3682.107,3647.096,1943.174,2149.735,2055.6,1858.948,2181.214,1934.232,2003.156,2354.583,3604.502,3694.671,3560.498,3608.395,1461.448,1505.915,1021.362,1759.56,2037.11,2454.435,2477.827,2364.281,2512.288,2484.27,2504.721,2779.498,2753.671,2772.268,2764.959,2629.368,2626.815,2747.855,2671.828,2286.62,2280.95,2129.514,2199.215,2368.169,2303.151,2300.378,2230.803,2189.335,2711.495,2687.219,2697.986,2568.267,2659.835,2624.217,2717.15,2739.831,2645.114,2719.81,2455.043,2508.413,2520.196,2561.258,2572.238,2556.828,2321.067,2440.668,2406.19,2784.91,2784.101,2052.395,2106.063,2016.194,1959.679,2319.583,2412.907,2201.064,3249.523,3109.593,3437.693,3220.77,3137.343,3371.643,2982.391,2855.912,2824.422,2850.871,2840.134,2940.152,2848.96,2869.603,2836.645,2901.296,2586.894,2633.278,2601.117,2590.731,2667.312,2599.92,4039.431,4343.399,4249.7,2305.933,2723.619,2390.799,2687.614,1677.808,1311.792,1897.016,1427.498,1204.048,672.497,3544.843,2204.871,2475.183,2851.938,2819.938,2992.695,3001.607,3140.662,2980.076,3173.471,3016.203,4087.224,4178.363,4028.412,4051.077,2150.745,2291.301,2043.825,2287.103,2342.71,2153.719
"Baja California Sur, Todos Santos",1377.484,1404.445,1375.042,1560.577,0.0,433.282,2712.899,2677.887,1415.456,1486.815,1527.882,1331.23,1721.625,1867.516,1765.56,1385.374,2635.293,2725.462,2591.29,2639.186,740.125,623.359,1435.929,1293.876,1064.76,1538.785,1612.083,1395.073,1543.079,1515.061,1535.512,1810.289,1784.462,1803.059,1795.751,1660.159,1657.607,1778.647,1702.62,1317.411,1311.742,1160.305,1230.006,1398.96,1333.942,1331.17,1261.594,1220.126,1742.287,1718.01,1728.777,1599.058,1690.627,1655.008,1747.942,1770.623,1675.905,1750.602,1485.834,1539.205,1550.987,1592.05,1603.03,1587.62,1351.858,1471.459,1436.981,1815.701,1814.893,1083.186,1136.855,1046.985,990.471,1625.569,1718.893,1688.975,2280.314,2140.385,2468.485,2251.561,2168.135,2402.434,2013.183,1886.703,1855.213,1881.663,1870.926,1970.943,1879.752,1900.395,1867.436,1932.087,1617.685,1744.628,1631.908,1621.522,1698.103,1630.711,3070.223,3374.19,3280.491,1547.076,1914.786,1584.784,1878.781,708.599,429.236,927.808,458.289,559.493,1020.273,2575.634,1748.151,1734.397,1882.729,1850.73,2023.486,2032.398,1997.745,2010.868,1980.687,2046.994,3118.016,3209.154,3059.204,3081.868,1305.177,1322.093,1136.36,1441.535,1373.501,1308.151
"Baja California Sur, Loreto",1646.573,1673.534,1644.132,1128.928,433.282,0.0,2990.788,2955.777,1693.346,1764.705,1805.772,1609.12,1999.515,2063.532,2043.45,1663.264,2913.183,3003.352,2869.179,2917.076,940.955,903.466,1102.748,1571.766,1342.65,1816.674,1889.973,1672.963,1820.969,1792.951,1813.402,2088.179,2062.352,2080.949,2073.64,1938.049,1935.497,2056.537,1980.509,1595.301,1589.631,1438.195,1507.896,1676.85,1611.832,1609.059,1539.484,1498.016,2020.176,1995.9,2006.667,1876.948,1968.517,1932.898,2025.832,2048.512,1953.795,2028.491,1763.724,1817.094,1828.877,1869.939,1880.919,1865.509,1629.748,1749.349,1714.871,2093.591,2092.782,1361.076,1414.744,1324.875,1268.36,1903.459,1996.782,1966.865,2558.204,2418.275,2746.374,2529.451,2446.024,2680.324,2291.073,2164.593,2133.103,2159.553,2148.816,2248.833,2157.642,2178.284,2145.326,2209.977,1895.575,2022.517,1909.798,1899.412,1975.993,1908.601,3348.112,3652.08,3558.381,1824.965,2192.675,1862.674,2156.671,986.489,709.343,1205.697,736.179,601.599,687.092,2853.524,2026.04,2012.287,2160.619,2128.619,2301.376,2310.67,2275.635,2288.757,2258.576,2324.884,3395.906,3487.044,3337.094,3359.758,1583.067,1599.983,1414.249,1719.424,1651.391,1586.041
"Campeche, Isla Aguada",1509.007,1493.304,1494.475,3682.107,2712.899,2990.788,0.0,281.869,1948.753,2057.555,1787.728,2039.317,1813.834,2006.387,2118.526,1705.873,521.847,506.562,477.844,285.137,2647.643,2561.548,2688.389,1991.641,1790.434,1298.067,1248.587,1382.513,1254.751,1284.641,1233.89,1064.142,1001.547,1020.144,1019.795,1127.865,1156.459,966.739,1110.075,1503.319,1632.241,1571.991,1756.588,1379.276,1708.783,1706.011,1530.265,1502.811,1068.997,1029.584,1111.092,1145.23,1031.829,1093.203,1080.032,976.285,1072.406,1076.169,1255.414,1322.92,1334.703,1150.776,1176.215,1371.335,1457.757,1315.607,1382.846,991.799,979.092,1642.698,1798.171,1710.889,1822.941,1622.805,1526.499,1768.504,764.664,722.112,872.948,869.524,985.374,1021.618,934.181,943.849,1043.305,930.771,868.758,891.941,994.314,887.451,973.023,966.681,1194.118,1321.061,1171.869,1144.648,1234.66,1140.395,395.514,661.985,597.256,1606.414,1244.005,1322.788,1261.25,2137.856,2459.856,1876.601,2306.53,2590.113,3050.893,294.85,1762.573,1545.215,873.885,892.847,798.861,808.155,923.152,702.198,986.257,709.095,405.81,496.949,346.998,369.663,1612.551,1630.99,1720.422,1461.821,1501.876,1552.965
"Campeche, Palizada",1473.996,1458.293,1459.463,3647.096,2677.887,2955.777,281.869,0.0,1914.523,2023.325,1753.498,2005.087,1779.604,1972.157,2084.296,1671.643,329.627,338.969,443.613,117.544,2613.413,2527.318,2654.159,1957.411,1756.204,1263.837,1214.356,1348.283,1220.521,1250.411,1199.66,1029.912,967.317,985.914,985.564,1093.635,1122.229,932.509,1075.845,1469.089,1598.011,1537.761,1722.358,1345.046,1674.553,1671.781,1496.035,1468.581,1034.767,995.354,1076.862,1111.0,997.598,1058.973,1045.801,942.055,1038.176,1041.939,1221.184,1288.69,1300.473,1116.546,1141.985,1337.105,1423.527,1281.377,1348.616,957.569,944.862,1608.468,1763.94,1676.659,1788.711,1588.575,1492.269,1734.274,730.433,687.881,838.718,835.294,951.144,987.388,899.951,909.619,1009.075,896.541,834.528,857.711,960.084,853.221,938.792,932.451,1159.888,1286.831,1137.639,1110.417,1200.43,1106.165,482.012,851.146,692.281,1572.184,1209.775,1288.558,1227.02,2103.626,2425.626,1842.371,2272.3,2555.883,3016.663,194.652,1728.343,1510.985,839.655,858.617,764.631,773.925,888.922,667.968,952.027,674.865,594.971,686.11,536.159,558.824,1578.321,1596.76,1686.192,1427.591,1467.646,1518.735
"Coahuila, Parras de la Fuente",601.257,666.974,598.815,1943.174,1415.456,1693.346,1948.753,1914.523,0.0,303.238,162.121,76.513,355.864,501.755,399.799,1044.2,1864.188,1954.357,1820.185,1868.081,887.063,800.968,927.809,231.061,447.615,725.38,715.671,767.558,866.142,856.075,774.367,1096.233,1013.357,1031.954,1024.645,872.632,875.88,1007.542,920.893,907.785,970.567,907.079,1091.676,739.734,1043.871,1041.098,868.592,837.899,1028.23,946.395,1014.721,938.793,976.57,868.804,1033.885,999.008,946.059,1036.545,877.859,960.784,972.567,928.772,939.422,1009.199,862.224,953.471,941.135,1068.383,1067.574,940.537,994.205,904.336,847.821,259.808,353.132,323.214,1509.209,1369.28,1697.379,1480.456,1397.03,1631.329,1242.078,1115.598,1084.108,1110.558,1099.821,1199.838,1108.647,1129.29,1096.331,1160.982,835.958,739.799,850.181,839.795,916.376,849.688,2299.118,2603.085,2509.386,412.455,830.14,628.643,794.136,808.837,1130.836,785.158,977.511,1261.093,1330.24,1804.529,382.39,581.705,1111.624,1079.625,1252.381,1261.293,977.287,1239.763,1010.096,1275.889,2346.911,2438.049,2288.099,2310.763,552.321,711.722,454.331,646.511,727.984,517.195
"Coahuila, Cuatro Cienegas",738.511,804.228,736.069,2149.735,1486.815,1764.705,2057.555,2023.325,303.238,0.0,277.339,246.014,176.8,299.417,197.462,1181.67,1973.642,2063.811,1929.639,1977.535,961.269,875.174,1002.014,305.267,521.821,834.834,825.125,920.147,975.597,965.529,883.821,1205.687,1122.811,1141.408,1134.1,982.086,985.334,1116.996,1030.347,1045.256,1108.038,1044.549,1161.562,849.188,1181.341,1178.569,1006.062,975.369,1137.684,1055.849,1124.175,1048.248,1086.024,978.258,1143.339,1108.462,1055.513,1145.999,987.313,1070.239,1082.021,1038.226,1048.876,1118.654,999.694,1062.926,1086.178,1177.837,1177.028,1014.742,1068.411,978.541,922.027,316.48,409.803,232.316,1618.663,1478.734,1806.834,1589.91,1506.484,1740.783,1097.901,1225.052,1193.562,1220.012,1209.275,1309.292,1218.101,1238.744,1205.785,1270.436,945.412,849.253,959.635,949.249,1025.83,959.142,2408.572,2712.539,2618.841,542.644,939.595,738.097,903.59,883.042,1205.042,859.364,1051.716,1335.299,1404.446,1913.983,409.395,691.159,1221.078,1189.079,1361.835,1370.747,1033.958,1349.217,1066.768,1385.343,2456.365,2547.503,2397.553,2420.217,689.791,849.192,528.536,783.982,865.454,654.665
